zone_id,center_lat,center_lng,violation_count,risk_score,impact_score,severity,enforcement_priority,impact_risk_component,impact_density_component,impact_peak_hour_component,impact_road_impact_component,impact_poi_component,impact_repeat_offender_component
Z_30_75,12.837387387387386,77.64953703703704,1,4.041928e-05,0.060081878346899056,LOW,1495,4.041928e-05,0.0,0.0,0.0,0.6006975256244785,0.0
Z_30_77,12.837387387387386,77.65879629629629,1,4.3192318e-05,0.05802196989886604,LOW,1503,4.3192318e-05,0.0,0.0,0.0,0.580090122032491,0.0
Z_30_78,12.837387387387386,77.66342592592592,1,2.977019e-05,0.056881799516281785,LOW,1504,2.977019e-05,0.0,0.0,0.0,0.5687286845929982,0.0
Z_30_81,12.837387387387386,77.6773148148148,95,0.983335,0.45312359406433017,MEDIUM,514,0.983335,0.4288260670959965,0.06315789473684211,0.04421052631578947,0.5309469942161293,0.03157894736842104
Z_30_82,12.837387387387386,77.68194444444444,3,0.00055076333,0.11724818777167567,LOW,1165,0.00055076333,0.07678226434655998,0.3333333333333333,0.0,0.5172650589394704,0.0
Z_31_73,12.84189189189189,77.64027777777777,7,0.00017946772,0.18004665732924088,MEDIUM,750,0.00017946772,0.15356452869311996,0.2857142857142857,0.0,0.635656255580439,0.4285714285714286
Z_31_74,12.84189189189189,77.6449074074074,1605,0.99884415,0.5653589921083712,HIGH,92,0.99884415,0.7408917385698114,0.23738317757009345,0.004361370716510903,0.626987220583236,0.18566978193146422
Z_31_75,12.84189189189189,77.64953703703704,496,0.99815136,0.5163696992058727,HIGH,300,0.99815136,0.6109643123877876,0.1693548387096774,0.004838709677419354,0.61747545256957,0.06854838709677424
Z_31_76,12.84189189189189,77.65416666666667,23,3.194057e-05,0.12012632094621911,LOW,1148,3.194057e-05,0.27526153840287654,0.0,0.0,0.6071660500717235,0.04347826086956519
Z_31_78,12.84189189189189,77.66342592592592,16,2.9235996e-05,0.11210570640704942,LOW,1198,2.9235996e-05,0.23706238803706473,0.0,0.0,0.5843445800016843,0.0625
Z_31_80,12.84189189189189,77.67268518518519,5,0.00012674538,0.11026847004210037,LOW,1211,0.00012674538,0.12169700970975657,0.2,0.0,0.5589104448407819,0.0
Z_31_81,12.84189189189189,77.6773148148148,370,0.9924583,0.5240399993674025,HIGH,252,0.9924583,0.5785755058918228,0.1783783783783784,0.13405405405405404,0.5453333512276155,0.09189189189189184
Z_31_83,12.84189189189189,77.68657407407407,17,0.003821402,0.12635987102132162,LOW,1110,0.003821402,0.24339401941951314,0.058823529411764705,0.10588235294117647,0.5182876406444445,0.0
Z_32_62,12.846396396396395,77.58935185185184,3,0.00015678072,0.11596640137138635,LOW,1176,0.00015678072,0.07678226434655998,0.0,0.19999999999999998,0.7056291428552441,0.0
Z_32_75,12.846396396396395,77.64953703703704,4,7.845121e-05,0.15871879009717063,LOW,888,7.845121e-05,0.10150063242878588,0.5,0.0,0.6339512824776083,0.0
Z_32_77,12.846396396396395,77.65879629629629,6,2.7655615e-05,0.08894061185099678,LOW,1322,2.7655615e-05,0.13877280339348327,0.0,0.0,0.6117775448787264,0.0
Z_32_78,12.846396396396395,77.66342592592592,4,3.0407025e-05,0.08026868500358357,LOW,1396,3.0407025e-05,0.10150063242878588,0.0,0.0,0.5995943640965888,0.0
Z_32_79,12.846396396396395,77.66805555555555,1,2.977019e-05,0.05868409990973622,LOW,1499,2.977019e-05,0.0,0.0,0.0,0.5867516885275426,0.0
Z_32_80,12.846396396396395,77.67268518518519,6,0.00011385293,0.13511894244832753,LOW,1055,0.00011385293,0.13877280339348327,0.3333333333333333,0.0,0.5733022588891866,0.0
Z_32_82,12.846396396396395,77.68194444444444,1,2.837219e-05,0.05465442862371794,LOW,1507,2.837219e-05,0.0,0.0,0.0,0.5464591696657528,0.0
Z_32_83,12.846396396396395,77.68657407407407,2,0.00015244792,0.1522836631223186,LOW,927,0.00015244792,0.04491474536319661,0.0,0.6,0.5325497967204318,0.0
Z_33_62,12.8509009009009,77.58935185185184,17,0.005189351,0.1457035703180471,LOW,976,0.005189351,0.24339401941951314,0.11764705882352941,0.03529411764705882,0.7252678462857098,0.0
Z_33_76,12.8509009009009,77.65416666666667,1,2.2303984e-05,0.06390383867820586,LOW,1481,2.2303984e-05,0.0,0.0,0.0,0.6389714748248392,0.0
Z_33_77,12.8509009009009,77.65879629629629,116,0.12581106,0.2108567279033312,MEDIUM,618,0.12581106,0.45073989570977246,0.04310344827586207,0.0,0.6270680924576139,0.13793103448275867
Z_33_80,12.8509009009009,77.67268518518519,1,5.085946e-05,0.05879602007865207,LOW,1498,5.085946e-05,0.0,0.0,0.0,0.5878076224001153,0.0
Z_34_49,12.855405405405405,77.52916666666667,1,2.6495596e-05,0.06638616058393434,LOW,1470,2.6495596e-05,0.0,0.0,0.0,0.6637821190492157,0.0
Z_34_58,12.855405405405405,77.57083333333333,1,3.032279e-05,0.07402778293340762,LOW,1447,3.032279e-05,0.0,0.0,0.0,0.740186860964599,0.0
Z_34_62,12.855405405405405,77.58935185185184,52,0.00029461595,0.1644798931268164,LOW,846,0.00029461595,0.3630204381517796,0.11538461538461539,0.0,0.7447972839906244,0.0
Z_34_78,12.855405405405405,77.66342592592592,120,0.99677795,0.5368937006908931,HIGH,202,0.99677795,0.4544637217155537,0.225,0.31333333333333335,0.6288421961784266,0.033333333333333326
Z_34_80,12.855405405405405,77.67268518518519,1,2.4816756e-05,0.06026276641627526,LOW,1494,2.4816756e-05,0.0,0.0,0.0,0.6025532138905298,0.0
Z_35_49,12.85990990990991,77.52916666666667,30,0.00013239714,0.15600132938115435,LOW,904,0.00013239714,0.3036121463823172,0.0,0.16,0.6790584762796994,0.033333333333333326
Z_35_62,12.85990990990991,77.58935185185184,30,0.00033201912,0.17557433903748146,LOW,770,0.00033201912,0.3036121463823172,0.23333333333333334,0.0,0.7641897068525019,0.033333333333333326
Z_35_67,12.85990990990991,77.6125,1,2.6033636e-05,0.07455417723895219,LOW,1441,2.6033636e-05,0.0,0.0,0.0,0.7454636714783258,0.0
Z_35_75,12.85990990990991,77.64953703703704,6,5.0695213e-05,0.09589124589573167,LOW,1278,5.0695213e-05,0.13877280339348327,0.0,0.0,0.6812147665299843,0.0
Z_35_77,12.85990990990991,77.65879629629629,7,9.676488e-05,0.11066168358959948,LOW,1206,9.676488e-05,0.15356452869311996,0.0,0.0,0.6563403410054824,0.1428571428571429
Z_35_80,12.85990990990991,77.67268518518519,5,5.005825e-05,0.08603844675531977,LOW,1341,5.005825e-05,0.12169700970975657,0.0,0.0,0.6168402733780669,0.0
Z_35_87,12.85990990990991,77.70509259259259,7,3.3868328e-05,0.08236406567914,LOW,1377,3.3868328e-05,0.15356452869311996,0.0,0.0,0.516409994422386,0.0
Z_36_49,12.864414414414414,77.52916666666667,44,0.00013949687,0.14725786794274448,LOW,967,0.00013949687,0.34489465184829904,0.0,0.013636363636363636,0.6937345214588443,0.06818181818181823
Z_36_50,12.864414414414414,77.53379629629629,19,0.0045162966,0.15313854279750622,LOW,923,0.0045162966,0.25506516112190586,0.05263157894736842,0.14736842105263157,0.7077062156025188,0.0
Z_36_62,12.864414414414414,77.58935185185184,1,4.2539017e-05,0.0783535099537498,LOW,1414,4.2539017e-05,0.0,0.0,0.0,0.7834074824787464,0.0
Z_36_63,12.864414414414414,77.59398148148148,3,2.5141986e-05,0.09338785671341876,LOW,1294,2.5141986e-05,0.07678226434655998,0.0,0.0,0.7802386124811187,0.0
Z_36_76,12.864414414414414,77.65416666666667,2,2.7758982e-05,0.0773496861110185,LOW,1422,2.7758982e-05,0.04491474536319661,0.0,0.0,0.6835840934291086,0.0
Z_36_77,12.864414414414414,77.65879629629629,3,3.4236935e-05,0.08245005283903278,LOW,1375,3.4236935e-05,0.07678226434655998,0.0,0.0,0.6708332888871109,0.0
Z_36_87,12.864414414414414,77.70509259259259,2,3.1267413e-05,0.0621170308753465,LOW,1488,3.1267413e-05,0.04491474536319661,0.0,0.0,0.5312470157812432,0.0
Z_37_50,12.868918918918919,77.53379629629629,11,9.366762e-05,0.11741885073881526,LOW,1162,9.366762e-05,0.19847927405631657,0.0,0.03636363636363637,0.7224035018446066,0.0
Z_37_51,12.868918918918919,77.53842592592592,41,0.04658196,0.19505788713192812,MEDIUM,677,0.04658196,0.33725207744979985,0.07317073170731707,0.16097560975609757,0.7363288234628282,0.04878048780487809
Z_37_58,12.868918918918919,77.57083333333333,4,0.0004365422,0.1753244078692135,LOW,772,0.0004365422,0.10150063242878588,0.5,0.0,0.798933187157024,0.0
Z_37_59,12.868918918918919,77.57546296296296,1,4.069539e-05,0.08017066299573694,LOW,1397,4.069539e-05,0.0,0.0,0.0,0.8015845437814628,0.0
Z_37_60,12.868918918918919,77.58009259259259,2,8.299554e-05,0.08938816393070759,LOW,1316,8.299554e-05,0.04491474536319661,0.0,0.0,0.8038031619459949,0.0
Z_37_61,12.868918918918919,77.58472222222223,1,4.7024976e-05,0.08041986321950019,LOW,1395,4.7024976e-05,0.0,0.0,0.0,0.8040575572612936,0.0
Z_37_63,12.868918918918919,77.59398148148148,1,2.705147e-05,0.07989908296502667,LOW,1399,2.705147e-05,0.0,0.0,0.0,0.7989096752379385,0.0
Z_37_76,12.868918918918919,77.65416666666667,447,0.9998704,0.5426141492546803,HIGH,169,0.9998704,0.5994663894728431,0.09395973154362416,0.03087248322147651,0.6980670153334807,0.3422818791946308
Z_37_77,12.868918918918919,77.65879629629629,79,0.45190924,0.37118767444367584,MEDIUM,531,0.45190924,0.4086296898150258,0.24050632911392406,0.15949367088607594,0.6857250458608102,0.25316455696202533
Z_38_51,12.873423423423423,77.53842592592592,56,0.0003524092,0.18264100451606155,MEDIUM,733,0.0003524092,0.37108023862544726,0.03571428571428571,0.11428571428571428,0.7510494831299438,0.1071428571428571
Z_38_52,12.873423423423423,77.54305555555555,52,0.0003145834,0.17419023652449023,LOW,782,0.0003145834,0.3630204381517796,0.038461538461538464,0.11538461538461539,0.7649177387400844,0.019230769230769273
Z_38_57,12.873423423423423,77.5662037037037,21,4.764901e-05,0.134587376661495,LOW,1060,4.764901e-05,0.26562299303105685,0.0,0.0,0.8144848335152339,0.0
Z_38_58,12.873423423423423,77.57083333333333,3,4.728521e-05,0.09725026485992844,LOW,1271,4.728521e-05,0.07678226434655998,0.0,0.0,0.8187962642622041,0.0
Z_38_61,12.873423423423423,77.58472222222223,1,3.731801e-05,0.08231131350464443,LOW,1378,3.731801e-05,0.0,0.0,0.0,0.8230011810144083,0.0
Z_38_63,12.873423423423423,77.59398148148148,101,0.9880006,0.49740905897398313,MEDIUM,383,0.9880006,0.43554166209338124,0.18811881188118812,0.0,0.8172231933380549,0.03960396039603964
Z_38_65,12.873423423423423,77.60324074074074,1,5.576988e-05,0.08080358480912253,LOW,1394,5.576988e-05,0.0,0.0,0.0,0.8078685384463313,0.0
Z_38_68,12.873423423423423,77.61712962962963,1,0.0017390142,0.2296277774043245,MEDIUM,582,0.0017390142,0.0,1.0,0.0,0.79106073140805,0.0
Z_38_73,12.873423423423423,77.64027777777777,17,0.0033462162,0.18923541655256376,MEDIUM,697,0.0033462162,0.24339401941951314,0.11764705882352941,0.0,0.7484686539595315,0.47058823529411764
Z_38_74,12.873423423423423,77.6449074074074,17,0.00035214995,0.15188875979011887,LOW,930,0.00035214995,0.24339401941951314,0.0,0.0,0.7369254620935279,0.2941176470588235
Z_38_75,12.873423423423423,77.64953703703704,143,0.9549442,0.5051250252104434,MEDIUM,344,0.9549442,0.47374081245919314,0.21678321678321677,0.0,0.724950033110465,0.18881118881118886
Z_38_76,12.873423423423423,77.65416666666667,47,0.0035897493,0.20236272820115456,MEDIUM,640,0.0035897493,0.3520438027494366,0.0425531914893617,0.0,0.7130257471872194,0.5319148936170213
Z_38_79,12.873423423423423,77.66805555555555,16,0.00033111539,0.14092701285506784,LOW,1010,0.00033111539,0.23706238803706473,0.0,0.175,0.6716520062922897,0.0
Z_38_80,12.873423423423423,77.67268518518519,19,0.017244507,0.14392977947760688,LOW,992,0.017244507,0.25506516112190586,0.05263157894736842,0.09473684210526315,0.6563813201400234,0.0
Z_39_31,12.877927927927928,77.44583333333333,4,0.0018500437,0.12066866002250688,LOW,1144,0.0018500437,0.10150063242878588,0.25,0.15,0.39813520404933755,0.0
Z_39_46,12.877927927927928,77.51527777777777,1,3.812306e-05,0.06818284619805344,LOW,1465,3.812306e-05,0.0,0.0,0.0,0.6817140927944128,0.0
Z_39_49,12.877927927927928,77.52916666666667,2,0.0045758206,0.20367100522617357,MEDIUM,636,0.0045758206,0.04491474536319661,0.5,0.3,0.7331530996161542,0.0
Z_39_50,12.877927927927928,77.53379629629629,1,0.00015092634,0.164980174048043,LOW,842,0.00015092634,0.0,0.0,0.6,0.7493489614579771,0.0
Z_39_52,12.877927927927928,77.54305555555555,65,0.0011808758,0.1674769225306506,LOW,817,0.0011808758,0.3873200027408134,0.03076923076923077,0.036923076923076927,0.7796635152282059,0.01538461538461533
Z_39_53,12.877927927927928,77.54768518518519,35,0.0040651346,0.15431507649924112,LOW,913,0.0040651346,0.32017628376607316,0.02857142857142857,0.01714285714285714,0.7934599366297517,0.02857142857142858
Z_39_55,12.877927927927928,77.55694444444444,4,9.2685375e-05,0.10204783136092929,LOW,1248,9.2685375e-05,0.10150063242878588,0.0,0.0,0.8171989926109067,0.0
Z_39_63,12.877927927927928,77.59398148148148,252,0.9970583,0.5235880313546053,HIGH,255,0.9970583,0.5361700585825084,0.15079365079365079,0.0,0.8350635535756041,0.11111111111111116
Z_39_64,12.877927927927928,77.59861111111111,230,0.99994826,0.5608693194458049,HIGH,107,0.99994826,0.5260928061342967,0.18695652173913044,0.002608695652173913,0.8288366461232833,0.4434782608695652
Z_39_65,12.877927927927928,77.60324074074074,6,8.907948e-05,0.11029252832561254,LOW,1210,8.907948e-05,0.13877280339348327,0.0,0.0,0.8251124380038464,0.0
Z_39_66,12.877927927927928,77.60787037037036,1,6.8867215e-05,0.08210322138920123,LOW,1382,6.8867215e-05,0.0,0.0,0.0,0.8208256122388223,0.0
Z_39_67,12.877927927927928,77.6125,5,8.401823e-05,0.10585055070551769,LOW,1230,8.401823e-05,0.12169700970975657,0.0,0.0,0.8148594329297388,0.0
Z_39_68,12.877927927927928,77.61712962962963,57,0.009758933,0.17667761557483846,MEDIUM,763,0.009758933,0.37300678095844975,0.12280701754385964,0.0,0.8072752671737915,0.0
Z_39_70,12.877927927927928,77.62638888888888,8,9.735435e-05,0.11245665111701314,LOW,1194,9.735435e-05,0.1666117550729532,0.0,0.0,0.7910509379555972,0.0
Z_39_72,12.877927927927928,77.63564814814815,8,0.0018006663,0.16746201267525918,LOW,818,0.0018006663,0.1666117550729532,0.375,0.0,0.7734946173827082,0.0
Z_39_73,12.877927927927928,77.64027777777777,21,0.001259684,0.16310609929837286,LOW,855,0.001259684,0.26562299303105685,0.19047619047619047,0.0,0.7627026215300468,0.04761904761904767
Z_39_74,12.877927927927928,77.6449074074074,94,0.9794353,0.4810936783595363,MEDIUM,450,0.9794353,0.4276661256910365,0.06382978723404255,0.0,0.7513410517934815,0.17021276595744683
Z_39_75,12.877927927927928,77.64953703703704,143,0.99970526,0.5168399260518235,HIGH,298,0.99970526,0.47374081245919314,0.16783216783216784,0.004195804195804196,0.7399835694776193,0.22377622377622375
Z_39_76,12.877927927927928,77.65416666666667,1,6.5556036e-05,0.07276289002061219,LOW,1451,6.5556036e-05,0.0,0.0,0.0,0.7274322320904445,0.0
Z_39_80,12.877927927927928,77.67268518518519,45,0.00025627483,0.1647143342917915,LOW,843,0.00025627483,0.3473293298980115,0.0,0.17333333333333334,0.669493636360988,0.022222222222222254
Z_39_94,12.877927927927928,77.7375,1,0.00017451288,0.19915643951557638,MEDIUM,649,0.00017451288,0.0,1.0,0.0,0.4910408564996386,0.0
Z_40_43,12.88243243243243,77.50138888888888,1,2.6495596e-05,0.06354209121767143,LOW,1483,2.6495596e-05,0.0,0.0,0.0,0.6353414253865866,0.0
Z_40_52,12.88243243243243,77.54305555555555,3,0.001469079,0.1451380994393264,LOW,984,0.001469079,0.07678226434655998,0.3333333333333333,0.0,0.7934092284162586,0.0
Z_40_53,12.88243243243243,77.54768518518519,53,0.0020333892,0.16596075901413376,LOW,833,0.0020333892,0.3650910291292698,0.0,0.06415094339622641,0.8082310247398123,0.018867924528301883
Z_40_54,12.88243243243243,77.5523148148148,10,6.444688e-05,0.11998093640329115,LOW,1149,6.444688e-05,0.18884072868449686,0.0,0.0,0.8219345660073664,0.0
Z_40_63,12.88243243243243,77.59398148148148,96,0.9945838,0.49043019731813026,MEDIUM,417,0.9945838,0.42997398816650806,0.10416666666666667,0.0,0.8522690684946588,0.05208333333333337
Z_40_64,12.88243243243243,77.59861111111111,73,0.00015988846,0.19678278645100522,MEDIUM,669,0.00015988846,0.3999936254207987,0.0136986301369863,0.0,0.8454431400535896,0.3013698630136986
Z_40_65,12.88243243243243,77.60324074074074,15,9.6668584e-05,0.1302679910394053,LOW,1093,9.6668584e-05,0.23034679303967995,0.0,0.0,0.8416963185594608,0.0
Z_40_66,12.88243243243243,77.60787037037036,15,0.0001523045,0.13383120917845565,LOW,1067,0.0001523045,0.23034679303967995,0.0,0.02666666666666667,0.8371615921562092,0.0
Z_40_72,12.88243243243243,77.63564814814815,10,8.634488e-05,0.11654598099329119,LOW,1172,8.634488e-05,0.18884072868449686,0.0,0.0,0.7875193179045247,0.0
Z_40_73,12.88243243243243,77.64027777777777,153,0.9875402,0.5339245586344882,HIGH,212,0.9875402,0.48117806077110015,0.20261437908496732,0.0,0.7770140064873742,0.33333333333333337
Z_40_74,12.88243243243243,77.6449074074074,187,0.98979414,0.5319922341114708,HIGH,223,0.98979414,0.5032761738925274,0.20320855614973263,0.0,0.7664474810967147,0.2727272727272727
Z_40_75,12.88243243243243,77.64953703703704,15,0.00011131513,0.12154757081019227,LOW,1138,0.00011131513,0.23034679303967995,0.0,0.0,0.7544481766319691,0.0
Z_40_76,12.88243243243243,77.65416666666667,1,6.0819424e-05,0.07416486895513377,LOW,1444,6.0819424e-05,0.0,0.0,0.0,0.7414662312717415,0.0
Z_40_80,12.88243243243243,77.67268518518519,1,5.7194407e-05,0.06821453256458272,LOW,1464,5.7194407e-05,0.0,0.0,0.0,0.6819737424126588,0.0
Z_40_97,12.88243243243243,77.75138888888888,52,0.014899811,0.17387831843963591,LOW,783,0.014899811,0.3630204381517796,0.17307692307692307,0.14615384615384616,0.46996595268753383,0.019230769230769273
Z_40_98,12.88243243243243,77.75601851851852,1,2.977019e-05,0.04592326219405512,LOW,1519,2.977019e-05,0.0,0.0,0.0,0.4591433113707315,0.0
Z_41_51,12.886936936936936,77.53842592592592,1,3.849335e-05,0.07893915044764836,LOW,1406,3.849335e-05,0.0,0.0,0.0,0.7892760244244382,0.0
Z_41_55,12.886936936936936,77.55694444444444,9,6.455944e-05,0.12070654636132777,LOW,1143,6.455944e-05,0.1782828967753459,0.0,0.0,0.8503059917288416,0.0
Z_41_56,12.886936936936936,77.56157407407407,303,0.990131,0.5075862262850684,MEDIUM,332,0.990131,0.5565122863019306,0.0627062706270627,0.0,0.8620813538867355,0.0363036303630363
Z_41_57,12.886936936936936,77.5662037037037,14,7.573225e-05,0.13180225619416727,LOW,1082,7.573225e-05,0.22319764213854246,0.0,0.0,0.8714000809040539,0.0
Z_41_58,12.886936936936936,77.57083333333333,14,0.01111145,0.14644253009822675,LOW,971,0.01111145,0.22319764213854246,0.07142857142857142,0.0,0.877552807951933,0.0
Z_41_60,12.886936936936936,77.58009259259259,2,7.039718e-05,0.09692172052932962,LOW,1272,7.039718e-05,0.04491474536319661,0.0,0.0,0.8791765230213714,0.0
Z_41_63,12.886936936936936,77.59398148148148,2,6.659867e-05,0.09586432863761515,LOW,1279,6.659867e-05,0.04491474536319661,0.0,0.0,0.8686139996180924,0.0
Z_41_64,12.886936936936936,77.59861111111111,12,0.0049689454,0.14157353438920742,LOW,1003,0.0049689454,0.20734587629025927,0.08333333333333333,0.0,0.8611367548707689,0.0
Z_41_70,12.886936936936936,77.62638888888888,1,0.0020561432,0.23255653760062434,MEDIUM,577,0.0020561432,0.0,1.0,0.0,0.8193969460336393,0.0
Z_41_72,12.886936936936936,77.63564814814815,11,0.0026127705,0.13427583422103173,LOW,1063,0.0026127705,0.19847927405631657,0.09090909090909091,0.0,0.801597846012477,0.0
Z_41_73,12.886936936936936,77.64027777777777,416,0.9884558,0.5613650015530391,HIGH,106,0.9884558,0.5915231606766362,0.3173076923076923,0.0,0.7921593346911989,0.19711538461538458
Z_41_74,12.886936936936936,77.6449074074074,11,0.0016804849,0.18653513115848916,MEDIUM,708,0.0016804849,0.19847927405631657,0.45454545454545453,0.0,0.7815331270846401,0.0
Z_41_75,12.886936936936936,77.64953703703704,30,0.00010745177,0.13771279773676298,LOW,1026,0.00010745177,0.3036121463823172,0.0,0.0,0.7695813292671843,0.0
Z_41_76,12.886936936936936,77.65416666666667,1,0.0007230586,0.22584127928816253,MEDIUM,589,0.0007230586,0.0,1.0,0.0,0.7562436170223175,0.0
Z_41_80,12.886936936936936,77.67268518518519,13,0.0015162065,0.18303027519944245,MEDIUM,731,0.0015162065,0.21555506774004324,0.0,0.41538461538461535,0.6946439966055917,0.07692307692307687
Z_41_94,12.886936936936936,77.7375,20,0.014739211,0.2128134414487644,MEDIUM,616,0.014739211,0.26046981310323986,0.2,0.33,0.5179771524037338,0.25
Z_41_96,12.886936936936936,77.74675925925925,1,5.085946e-05,0.04952449070974119,LOW,1514,5.085946e-05,0.0,0.0,0.0,0.4950923287110065,0.0
Z_42_51,12.89144144144144,77.53842592592592,1,0.0006858086,0.23014405378407657,MEDIUM,581,0.0006858086,0.0,1.0,0.0,0.7993831119592625,0.0
Z_42_56,12.89144144144144,77.56157407407407,68,0.99856085,0.4811619718892862,MEDIUM,449,0.99856085,0.39224407526120814,0.07352941176470588,0.008823529411764706,0.8785077351348729,0.02941176470588236
Z_42_57,12.89144144144144,77.5662037037037,11,0.99950683,0.4730374218954616,MEDIUM,480,0.99950683,0.19847927405631657,0.18181818181818182,0.05454545454545454,0.8894403934614731,0.09090909090909094
Z_42_58,12.89144144144144,77.57083333333333,32,0.999527,0.4763161308011347,MEDIUM,470,0.999527,0.3105377383942534,0.125,0.01875,0.8966298986056533,0.03125
Z_42_59,12.89144144144144,77.57546296296296,1,7.8748846e-05,0.08995306286658007,LOW,1311,7.8748846e-05,0.0,0.0,0.0,0.899294382123756,0.0
Z_42_60,12.89144144144144,77.58009259259259,19,0.99912244,0.4531678435061086,MEDIUM,513,0.99912244,0.25506516112190586,0.05263157894736842,0.03157894736842105,0.8978649412940289,0.0
Z_42_61,12.89144144144144,77.58472222222223,1,7.1319104e-05,0.08937785362307392,LOW,1317,7.1319104e-05,0.0,0.0,0.0,0.8935645789118194,0.0
Z_42_62,12.89144144144144,77.58935185185184,3,9.643197e-05,0.13770515683164597,LOW,1027,9.643197e-05,0.07678226434655998,0.0,0.0,0.8898644103771989,0.33333333333333337
Z_42_63,12.89144144144144,77.59398148148148,7,0.003039612,0.1471462910793448,LOW,968,0.003039612,0.15356452869311996,0.0,0.0857142857142857,0.8837864459547917,0.1428571428571429
Z_42_64,12.89144144144144,77.59861111111111,32,0.99891496,0.4671572225698379,MEDIUM,491,0.99891496,0.3105377383942534,0.0625,0.056249999999999994,0.8756266393517663,0.0
Z_42_65,12.89144144144144,77.60324074074074,1,4.269903e-05,0.08722146429356899,LOW,1332,4.269903e-05,0.0,0.0,0.0,0.8720865458365397,0.0
Z_42_66,12.89144144144144,77.60787037037036,2,4.225938e-05,0.09571801424692314,LOW,1282,4.225938e-05,0.04491474536319661,0.0,0.0,0.8672238735929043,0.0
